"Home ( FLATS No. 1325 - flatschicago in Chicago, IL) https://t.co/z60xBSBY8O",41.96514208,-87.66375916,Sun Mar 18 21:10:56 +0000 2018,975479690877194200
Check out our listing in Chicago-westPullman IL  realestate realtor https://t.co/4mXx64S2ds https://t.co/zuWjeoaLN8,41.6737997,-87.6225164,Sun Mar 18 21:12:09 +0000 2018,975479998059495400
"I'm at Chicago O'Hare International Airport in Chicago, IL w/ amperjay https://t.co/p09tveKAps",41.97151,-87.89537,Sun Mar 18 21:11:43 +0000 2018,975479888156266500
"Nothing but blue skies.  ozonekites snowkite mysticboarding  Lake Leelanau, Michigan https://t.co/hNmXsALuz1",44.9808,-85.715,Sun Mar 18 21:15:25 +0000 2018,975480820608757800
Quien necesita un tercer dia? lollapaloozaar putos en Lollapalooza https://t.co/NiA4KfUAOm,41.8842087,-87.6195526,Sun Mar 18 21:14:13 +0000 2018,975480516467048400
performingartsacademy  Millennium Knickerbocker Chicago https://t.co/yijkEnTHYx,41.8998,-87.62271,Sun Mar 18 21:15:13 +0000 2018,975480769555595300
Michigan Golf in March. NoLayingUp Golf PureMichigan Cigar  Thornapple Pointe Golf Club https://t.co/rvAAWIOmPB,42.877937,-85.48769442,Sun Mar 18 21:16:58 +0000 2018,975481211178143700
Just posted a photo  Sky Deck Willis Tower (Sears Tower) https://t.co/lbPrTNbOLv,41.8787003,-87.6359787,Sun Mar 18 21:17:07 +0000 2018,975481247387430900
SLAY MICHAEL ALLEN HARRIS. SLAY. kingdom brokennosetheatre chicagotheatre  The Den Theatre https://t.co/OXpWkNgYWa,41.9059779,-87.6703025,Sun Mar 18 21:20:23 +0000 2018,975482067785003000
After ALL the parties... It's a closer.  evilOlive https://t.co/j2iUpHVQDS,41.90304,-87.66709,Sun Mar 18 21:19:55 +0000 2018,975481952798199800
"I'm at 5008 in Chicago, IL w/ patrickft22 https://t.co/WkFlFqSQ0R",41.97209227,-87.69097991,Sun Mar 18 21:20:00 +0000 2018,975481971173445600
haircolor by mhairdesignmike  M Hair Design https://t.co/BA2aCQuxiE,41.84611,-87.70277,Sun Mar 18 21:21:29 +0000 2018,975482347784110100
washinthesink better red than fiscally in the red.,41.9276227,-87.7026419,Sun Mar 18 21:25:24 +0000 2018,975483332032192500
I'm at Town of State Line City in IN https://t.co/iLqj7kpc7w,39.43306151,-87.53849648,Sun Mar 18 21:27:41 +0000 2018,975483906945421300
"I'm at Welcome To Illinois in Dennison, IL https://t.co/KgRBCl7JmC",39.42932569,-87.54545007,Sun Mar 18 21:27:14 +0000 2018,975483793854353400
Spring Break filled with layin pipe... dktrenchers jd8430 KCSI  Koss Conservation Services Inc. https://t.co/uniXnM1kAX,40.13135,-88.49684,Sun Mar 18 21:28:29 +0000 2018,975484106887843800
"I'm at Indiana / Illinois State Line in Terre Haute, IN https://t.co/T2ef27VVlG",39.43660524,-87.53109097,Sun Mar 18 21:26:57 +0000 2018,975483720248512500
"Eggs are creepy and disgusting. ANTIFA, please focus your violent rage against people who post videos of breaking yolks on Instagram next.",41.9276323,-87.7026468,Sun Mar 18 21:28:34 +0000 2018,975484128358477800
ChiTown  Chicago metropolitan area https://t.co/9oMecL1HHK,41.89972222,-87.65,Sun Mar 18 21:31:53 +0000 2018,975484965071872000
See a virtual tour of one of our newest listings 2634 North Ashland Avenue Chicago-lin... https://t.co/rGZhqBjyMW https://t.co/nweIpqqjxl,41.9298276,-87.668611,Sun Mar 18 21:30:49 +0000 2018,975484695663149000
"Sunday night church with Mom ( Eastview Christian Church - eastviewchurch in Normal, IL) https://t.co/KYtQ4qfOIf",40.53331657,-88.92250343,Sun Mar 18 21:30:25 +0000 2018,975484592462422000
None https://t.co/sEed3tvyyB,41.97122,-87.77191,Sun Mar 18 21:30:08 +0000 2018,975484522761478100
JazzShowcase for my cousin russellgunn with the columbiachi jazz ensemble!  Jazz Showcase https://t.co/iI8uw4ZtjD,41.87173,-87.62909,Sun Mar 18 21:31:00 +0000 2018,975484742769479700
"cccdall a beautiful pond for a beautiful day lincolnparkconservatory  Lincoln Park, Chicago https://t.co/rurwZfw4bX",41.92,-87.65,Sun Mar 18 21:31:21 +0000 2018,975484830916972500
"I'm at Rhema Word Outreach in Battle Creek, MI https://t.co/m9VCg3MJLW",42.38236434,-85.13597714,Sun Mar 18 21:35:46 +0000 2018,975485939710652400
Stop 2  Booth One https://t.co/52jEew0MOI,41.90594,-87.62835,Sun Mar 18 21:34:54 +0000 2018,975485722714169300
mtmbc104sundaycheckin ontheroad westside theblessedside  St. Joseph M.B. Church https://t.co/AoiEQDkoJr,41.8798699,-87.69891,Sun Mar 18 21:33:18 +0000 2018,975485319200964600
